USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  23044 14472 ?        Ss   15:56   0:01 /sbin/init splash
root         207  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_6]
root         208  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_7]
root         209  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_7]
root         210  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_8]
root         211  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_8]
root         212  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_9]
root         213  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_9]
root         214  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_10]
root         215  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_10]
root         216  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_11]
root         217  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_11]
root         218  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_12]
root         219  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_12]
root         220  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_13]
root         221  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_13]
root         222  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_14]
root         223  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_14]
root         224  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_15]
root         225  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_15]
root         226  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_16]
root         227  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_16]
root         228  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_17]
root         229  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_17]
root         230  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_18]
root         231  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_18]
root         232  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_19]
root         233  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_19]
root         234  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_20]
root         235  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_20]
root         236  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_21]
root         237  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_21]
root         238  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_22]
root         239  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_22]
root         240  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_23]
root         241  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_23]
root         242  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_24]
root         243  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_24]
root         244  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_25]
root         245  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_25]
root         246  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_26]
root         247  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_26]
root         248  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_27]
root         249  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_27]
root         250  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_28]
root         251  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_28]
root         252  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_29]
root         253  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_29]
root         254  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_30]
root         255  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_30]
root         256  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_31]
root         257  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_31]
root         284  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_32]
root         285  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_32]
root         329  0.0  0.0      0     0 ?        S    15:56   0:01 [jbd2/sda2-8]
root         330  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-ext4-rsv-conversion]
